Sno,review,vader_compound,vader_neg,vader_new,vader_pos,Vader_Sentiment,Company
43,"Need a whip? Call Dante. I was down and out been dragging my heels for years on a new car. My wife and I were on San Pablo looking and Dante invited us in. He showed us the car we needed and arranged for the financing. So, no matter who you are, if you got loot then it's all good. Dante and his manager were more friendly, accommodating, and professional than any of the dozens of spots we went.",0.6,0.035,0.87,0.095,Positive,Subaru
44,"Thanks to Don Myers for his many years of patience  while we thought about getting a Subaru. He's always been there patiently for when we were ready to proceed! We finally did it, and he made the whole process relatively painless and expedient. Highly recommended place to buy a car - good discount and no sales pressure.",0.8169,0.068,0.731,0.2,Positive,Subaru
45,"I'm a geek at consumer research who reads lots of reviews. But I don't write many unless I feel sincerely compelled. I just became a happy owner of a 2020 Outback Limited XT. As this is my 2nd Subaru, satisfaction was an easy sell. But what exceeded my expectation was the ""easy-peasy"" sales experience I had with Don Huey, and Darcie (in finance).  My car was advanced-ordered, with an estimated 10-week ETA. So, I had to restrained myself from bugging Don with a zillion (delivery status) calls. He was always sweet about it and gave me a teaser status anyway.  Candidly speaking, all Subaru dealers are not created equal, and Albany Subaru scores pretty high as a go-to if you want a pleasant, no-pressure experience. I drove away feeling pretty cool about it. And best of all, my dogs think the cargo area is heaven.",0.9933,0.048,0.655,0.297,Positive,Subaru
46,"We absolutely love our new 2019 Ascent.We checked out 4 other dealerships, before settling with Sheik and Albany Subaru. Only 2 of the 4 dealerships actually did an appraisal on my trade in on the spot, one was Albany, and they also were the only ones that followed up with us and showed that we were valuable as customers. They were great and we couldn't be more happy with our new Subaru.",0.8583,0.04,0.813,0.146,Positive,Subaru
47,"Buying a Subaru was a no brainer but which dealer to buy from was a long drawn out process. I dealt with three dealerships and had some unpleasant experience. Ultimately, I bought my new Crosstrek from Chris Mangasarian. It was a pleasure working with Chris throughout the entire process. He is very patient, lays out all the information and exerts no pressure, definitely none of the normal salesmanship that you may expect. I would recommend working with him and this dealership!",0.4199,0.125,0.74,0.134,Neutral,Subaru
48,"Been meaning to leave this review for awhile as a warning to the community...In June 2019, my spouse and I went to Albany Subaru (the used lot in El Cerrito) for an Outback, my dream car. Our salesperson was a young guy who'd told us this was his first month on the job, still learning the ropes--hadn't made a sale yet. During the test drive, he couldn't tell us much about the specific car's history or the model, but was very sweet, personable, and accommodating. The car drove great. We got back to the lot, spent some time sitting in the car, did some additional research, and felt pretty much set to make the purchase. We just wanted to take a look at a mechanic's report.Around this point, another dealer who was ""mentoring"" the younger one took the reins. As we started to fill out some preliminary paperwork for my credit check, we made repeated (polite but firm) requests to see the mechanic's report. He seemed pretty hesitant to show us anything and kept hemming and hawing about how all their cars are inspected and have to pass certain standards to even be sold. We insisted anyway. Finally, they produced an ""in-house"" report from the parts and services department that looked all clear... Thank goodness we were wise enough to follow some family advice and get the car inspected by an independent mechanic as well, before signing a contract.At this point the younger dealer was feeling very proud to be making his first sale, and offered to pay for the independent inspection. We felt very endeared to him and were excited to be part of this moment in his career. Our trust in the business was bolstered by his offer as well.This is where things got ugly. We took the car up San Pablo to a very nice Midas mechanic. We waited a few minutes. The moment he put the car up on the lift, he beckoned us over to come see. The car had a huge, deep scrape down the center of its undercarriage. He explained that the damage to various parts was worth at least $3000 in parts, if not more, and that the car would probably break down very soon on the road without the necessary repairs. It seemed like it had been driven over a tell parking block or something similar. So that was that. We called the younger dealer. He was ashen-faced when we showed him the Midas mechanic's report. It was clear at that point-- after he'd paid for the $150 inspection and demonstrated real surprise and disappointment at its result-- that he was not clued into the true condition of the car.We got back to the lot and tried to call out the other dealer. He basically was not able to give us a straight answer about why his mechanic's report was inaccurate. He said it had been done that morning (the car had just arrived to them the day before), so there was little chance that it had been driven over something since entering the hands of the dealership. We couldn't get him to explain and aspect of the discrepancy between the two mechanics' reports.Because, like I said, the Outback is my dream car, I offered to buy the car anyway at a discount equal to the repairs, and they flat-out refused. They said, ""We don't do that kind of thing."" I checked back on the car listing over the following weeks and the price didn't budge at all. Clearly they were planning to try to scam someone else in a similar way.So, the used sales department gets 1 star for being dishonest (or incompetent), as well as being unkind to their young employee.",0.9943,0.058,0.809,0.133,Positive,Subaru
49,"""Truly the best!""Don truly is the best- He has been working with me over the phone and through emails for over a week. He has diligently responded to all of my questions and concerns. Don has been nothing short of extremely professional and responsive. I had a great buying experience at Albany Subaru with Don's help and Albany staff.",0.9631,0,0.716,0.284,Positive,Subaru
50,"Don Myers is by far the best salesman I've ever dealt with. He made the experience of purchasing a new car so easy and painless. He was clear with us about everything as we walked through the process and we both felt in solid, capable hands. Also he is quite charming and funny and down to earth, no smarmy salesman vibes whatsoever. We did the Costco pricing as well and he handled everything we wanted with friendliness and ease. If you are looking into a Subaru, this dealership is highly recommended over the Oakland one.",0.9833,0.019,0.688,0.294,Positive,Subaru
51,"I recently bought a used Subaru from Abraham and new salesman Nick and was pleasantly surprised by the experience.  Used car salespeople have a bad reputation.  I took my car for its first oil service and noticed leaking on my garage floor.  My mechanic inspected and said it was the dreaded Subaru head gasket leaking.  So, I called and spoke to Nick who said he'd need to talk to his manager Jay and would call back - I a few hours later called Abraham who said that those Foresters had weeping head gaskets and if it wasn't over heating my mechanic did not know Subaru cars and he would talk to Jay and get back to me.  Day ended with no call so I called before leaving work and Abraham said jay was in meetings but they will call about my concerns in the morning.  Will update tomorrow.  I liked these guys and hope they are willing to help but head gaskets are expensive and I've already had to replace front struts and front brakes.  Optimistically waitingJay called and was very helpful referred me to a shop to check out my car Monday.  His call was a very kind and caring act!  Abraham also called and was reassuring and told me he stands by his sales and he would be there as we go through this process!  I am impressed.",0.9889,0.032,0.805,0.163,Positive,Subaru
52,"Great experience buying a new Ascent!After a thorough search, Albany Subaru was the only shop that had the model we wanted in stock. We were able to obtain a quote via email and follow up over the phone. Albany Subaru also had the best price!Dale, our salesman, was great... the car was detailed and ready for me to test drive when I got there. I did not feel pressured and had ample time to look at the vehicle for myself without anyone watching over my shoulder. The entire process, including the financing portion, went smoothly.  There were no hidden fees/add-ons and everything was clearly laid out for me. A few days after the purchase, Dale checked-in and was readily available for any questions and concerns.It has been about two weeks with the Ascent and we love it!",0.9586,0.015,0.847,0.138,Positive,Subaru
53,"My husband and I just recently bought a 2019 Forester from Don Myers...to start off Don was the most personable and genuine sales guy I've ever worked with, it was refreshing. Don made the buying process quick and easy with NO bullsh*t. We were in and out of the dealership with in a couple of hours. He worked fast and got us exactly what we wanted. If you're in the market for a new Subaru and want a friendly buying experience Don Myers is your guy!!Side note- I brought my 11 day old baby and he was so sweet about a needs of a newborn and gave us his office for all my changing and feeding needs to make us comfortable.",0.9046,0.023,0.855,0.121,Positive,Subaru
54,"Don Meyers....  the best!!!!We did the Costco pricing.. also the best!!!!No pressure, No Games... lots of knowledge about the product he is selling. Good deal and super professional.  I highly recommend this sales person and this dealership..",0.8106,0.095,0.672,0.233,Positive,Subaru
55,"The review is of the used car lot located at 10481 San Pablo Ave. in El Cerrito. Worked initially with Steve Stover and then with Jay when we finally purchased the car, a 2015 Volvo XC70. There are several pros and cons of this dealership based upon our experience here in comparison to other dealerships.Pros:- Cars are competitively priced. I don't believe we could have gotten this type of deal at any other dealership.- The gentlemen we talked to are easy-going and approachable. There is no stereotypical car dealership sales pressure here. If you like a car, you can present an offer and they will run it by their managers. If you don't like a vehicle you can walk away and not be bothered again.-Regardless of age or condition, they will give you the most credit they can on any vehicle you would like to trade in. Cons: -The cars for sale are not clean. When we went to initially test drive the vehicle there was some dust on the interior as well as a grocery store receipt in the trunk. When we returned to purchase the vehicle a month or so later, there was even more debris/dust all over the interior and the grocery store receipt was still there!.-The employees use the cars for personal use! When I noticed the car was still available, I sent my dad to go take a look at the vehicle however it was not on the lot! When we asked where the car was, we were told it was out ""being serviced."" Turns out the ""servicing,"" led to an additional 1,000 miles being put on the vehicle from when we initially viewed it.-They do not invest in any of the trade-ins they get. Our car was missing a floor mat, owner's manual, and a spare key. Despite all of the cons listed above, I am giving 3 stars because the vehicle we purchased was hard to find and we got a great deal on it. 8 months later and we have no regrets.",0.8348,0.043,0.894,0.063,Positive,Subaru
56,Dante and Jay were really nice and helpful when I camein to trade in my vehicle. They both went above and beyond to meet our needs. We were in and out with no hassle. Very honest. Loved their customer service.,0.9141,0.044,0.678,0.278,Positive,Subaru
57,"I bought a 2014 forester from Abraham 5/29/19.Abraham and I negotiated a good deal. He took care of all my concerns. At the end of negotiations he gave me his card and said call me if you have any concerns. I thought ya I've heard that before.The day after the sale I realized that the luggage compartment cover was missing. At first, I was frustrated and thought I was out of luck and would have to go purchase one. Then I remembered what Abraham said so I called him frustrated and crabby, he calmed me down and said he'll take care it. He did. Abraham keeps his word. Next time I need another used car I'll go to Albany Subaru again.",0.7096,0.071,0.81,0.118,Positive,Subaru
58,"It probably doesn't surprise you a number of people speak highly of Don Myers. That was also my experience. I purchased a 2019 Subaru Impreza Hatchback from him via the Costco Auto program, where I got a good price without any of the hassle of dealerships.He's a straight shooter who communicated well and took to my every need. He doesn't play price games, which some may see as no opportunity to haggle, but the opposite side of that coin is transparency and no sense that I was getting taken for a ride. He gave me good prices and a great experience.Seek out Don Myers and I doubt you'll be disappointed.",0.3641,0.133,0.73,0.137,Neutral,Subaru
59,"Bought a 2019 Subaru WRX today from two extremely professional people. Jay Bolds and Sheik Mobeen. Sheik was no pressure very educated and completely went the extra mile to make it happen for me. To the extent of delivering the car to my house! Jay Bolds also completely went the extra mile explaining all the financial paperwork to me. I can't say enough these two were amazing, thanks gentleman!",0.8168,0.057,0.789,0.154,Positive,Subaru
60,"I was referred here by a coworker. I checked now because I forgot to check in this past Saturday. I wanted to have a check in here. I'm glad I came here too. I was greeted by Luis with a handshake and a smile. He gave me a pat on the back and said ""have a look at our inventory and I'll be with you shorlty"". That was a plus for me. I already knew what I had in mind. When it came down to get the numbers together Luis helped me with the process. Yes and the test drive went smoothly. When we were done I was introduced to Jose and Ramiro. At this point it was time to come with my down payment. They made it all work out for me. Their slogan is ""WE MAKE IT HAPPEN"" and that's exactly what they did. They put me in a car with reasonable monthly payments. My girl was happy too. Which was also a plus. I will refer a friend here too. Luis, Jose and Ramiro your got guys. Tell them Michael Chavez sent you. You won't be disappointed.",0.9569,0,0.892,0.108,Positive,Auto Deals
61,I buy used Mercedes e350 before week ago . They guys give us good deal on it I really appreciate them ...I recommend everyone who wanna buy cars contact with them firstly,0.8122,0,0.756,0.244,Positive,Auto Deals
62,"These guys took such good care of me! They deserve to be located next to Honda and Toyota because they do not sell any cars that aren't quality. I bought a car for cash last night and I was in and out in 1.5 hours with everything handled for me with the DMV. Luiz was so helpful, the staff took care of me and this was truly a gem hidden away on Mission. (Did I mention they refused to let me take my car until it was inspected twice and had the windshield replaced)? They go by the book and take pride in selling quality cars! Will definitely return in the future.",0.9601,0.018,0.807,0.175,Positive,Auto Deals
63,"Used car dealers get a bum rap.  Many times, they bring it on themselves.  They're known for pumping up a car that really doesn't deserve it.  When they get your phone number, they'll bug you every day, even if you make it clear that you never answer the phone and please send you an email or text.  Cal Worthington and his dog Spot poked fun at that stereotype by acting out the stereotype in the most ridiculous way;  like Rush Limbaugh said in the past, demonstrating absurdity by being absurd.Enter Autoland.  They're located on the most extensive auto row in the Bay Area, so competition is tough.  The absurd stereotype can be seen here.  But I had a situation that they made work, and went out of their way to make it work.I won't go into details, but financing wasn't a slam dunk, even with my prequalification letter.  I needed only an inexpensive way to get from Point A to Point B.  They had a car available that would do that.  Naturally, they tried to upsell me to one nearly four times more expensive.  The agent I worked with worked with Autoland's finance manager and the lender to get something to work within the restrictions that were available.  And they did it.Which brings up something.  A lot of people do not have the five figures of cash available to drive away in a great car.  Some loan will need to be involved.  If a dealer can do that loan, the dealer is more likely to sell more cars.  Cal Worthington found that he made more money on the financing than he did on selling new or used cars.  Autoland has financing available, and I found out first hand that they will try to make it work.I have had this car for over a week now.  I'm satisfied with it.  And I'm satisfied with Autoland.  We in the Bay Area have a lot of choices close by to buy cars, and Autoland could work as a choice for you.",0.9703,0.024,0.892,0.084,Positive,Auto Deals
64,"This review is for Maria. My brother bought a car from them 2 years ago and today he had the most disrespectful and rude phone service from her. We had issues on what our warranty was and needed some clarification, hence why we called. She was very uninterested in answering his questions. She even refused to pull up his contract. She said she doesn't have time for him and his questions and to call her manager instead then hung up the phone. It seems this dealership only cares about selling cars and then toss you to the side once you become a client. I will be coming to the store to speak to the manager directly. Let's hope Maria keeps this same energy in front of her boss and me. Very poor service.",-0.216,0.063,0.879,0.057,Neutral,Auto Deals
65,"Finally a place that could help me get my dream car!! Great experience super professional, the workers right here definitely treat you like fam. They really try to help you get what you want without being pushy or being any other typical arrogant car salesman. Definitely recommend this place, thanks Nash And Joseph for helping me get the car I always wanted, I'll definitely come back here again for the next one!!",0.9866,0.033,0.552,0.415,Positive,Auto Deals
66,"I filled out the credit application online at the start of the day. They had all my information including what I was willing to put down. Going back and forth with Joe on the phone and eventually he calls me and says ""we have a way"" and told me to ""come on down"" I took BART from SF all the way to Hayward for them to have me sitting around for and hour and a half then tell me that they needed $3500 more than what they knew I was willing to put down. WHY MAKE ME COME ALL THE WAY TO HAYWARD TO TRY TO SELL ME A HONDA ACCORD OR TOYOTA CAMRY INSTEAD OF THE CAR YOU KNOW I WANT?! I COULD'VE BOUGHT AN ACCORD OR CAMRY EXACTLY WHERE I WAS AT. I CAME TO HAYWARD FOR A SPECIFIC VEHICLE.  AWESOME WASTE OF TIME. If you deal with these guys get ready to hear one thing on the phone then something completely different in person.",0.7712,0.021,0.916,0.062,Positive,Auto Deals
67,"Great experience here. When they say they make it happen, they make it happen.We were looking to sell and trade-in our cars in one transaction, which would normally be a complicated process and numbers game. Joe wasn't phased though--he was very transparent and flexible with what kinds of deals we could make, so there was no drama.We ended up getting good money for our cars, and walked away with a beautiful car at a great price. I would recommend Joe to anyone looking for an honest and straightforward car-buying experience.",0.9661,0.024,0.754,0.222,Positive,Auto Deals
68,"Me and my dad got a car here around January this year. It was pouring and I don't know why but me and my Dad just decided to take a look at the cars they have and eventually we found the right one for us. They were amazing, it was raining heavily but they still assisted us very well. The only thing I wasn't happy about is the waiting time. They made us wait for almost 5 hours because they were fixing the papers of the car and they took so long. Okay so fastforward, it was very late when we took the car home but we were really happy. The next day I noticed that the car has so many defects. The seats weren't clean, cheap and dusty lookin seats. The rear bumper was falling down, even the arm rest on the side door was broken. We came back for the bumper and they changed the clip and I just got pissed coz how would you sell a freaking car for 15,000$ with all these defects like tf. And 3 weeks after we got the car, we already needed to get the wheels aligned and get the break pads changed smh",-0.975,0.162,0.776,0.062,Negative,Auto Deals
69,"I am currently updating my review of autoland/autodeals. I initially posted my review 3 months ago of my experience with this dealership and it was not the best. joe H seen my review and wanted to do right by me. I contacted him and he told me to swing by the dealer and that he would make it right and so he did. Although the problem was very small, he made it right by me and for that I give him 5 stars. He is very professional and puts customer service above all things. Now with my new experience I would definitely come back for more business.",-0.5216,0.058,0.916,0.026,Negative,Auto Deals
70,"I found these guys to be unreliable, untruthful, and a waste of time.  --Talked to them on the phone, I asked about a particular car, they said they had it.. when i drove an hour to get there... they told me it was sold a week before..?    Typical used car types..",-0.4215,0.06,0.94,0,Neutral,Auto Deals
71,"I have had nothing but a great experience with purchasing my 2014 Toyota Camry no complaints at all  . Great , friendly, professional  customer service  and very accommodating , they are wiling to work with you in any way they can to make sure you get the car you want. I am definitely going to refer all my friends and family !!!!!",0.925,0.133,0.58,0.287,Positive,Auto Deals
72,"I had the best experience today working with Jo (the owner) on purchasing our new 2015 Rav4 with only 23K miles! They never pressured us in making a decision and got us a great deal! Their moto is ""we make it happen"" and they sure do! When he asked us straight away what our plan/goal was, he worked hard to make sure we walked away happy with an awesome low monthly payment! His team of associates were really friendly and helpful while we were in the lot looking around. I highly recommend anyone to check this place out first before going anywhere else!",0.9852,0.028,0.692,0.28,Positive,Auto Deals
73,I'm so glad that my car stopped in front of Auto Deals because this is where I found my new car that I am absolutely in love with!!! Luis and Hares were so nice and extremely helpful. They helped me to get financing and I was able to drive off of the lot with my new minivan!!! I have definitely been recommendating them to my friends family and Co workers!! Thank you so much!!! I would definitely buy from them again!,0.977,0.02,0.701,0.279,Positive,Auto Deals
74,Hugo helped us with a used Mini Cooper. I was really excited to purchase this vehicle and he was very kind and attentive. There were a few issues with the car after purchase and the guys at Autoland made it right. I really appreciated the kind service. Thank you!,0.9474,0,0.708,0.292,Positive,Auto Deals
75,"They shady is fuck my specially the owner JOE, my brother bought a truck and a week later the motor is gone and keep saying he is going to fix it but burning time so the warranty can expire he didnt give my brother a rental for the time and lying keep saying  heavy dealership going to fix it but there not and PRco insurance said that Joe is not responding to the claim so he dont have to come out of pocket So FUCK THAT DEALERSHIP AND BAD CUSTOMER SERVICE  they just about the money, you go have to call BBB, and The dept of dealerships",-0.9729,0.169,0.831,0,Negative,Auto Deals
76,I was looking for a new car and I found the perfect car at Autoland. They did a really good job finding a bank to finance me. I have no complaints.,0.4576,0.149,0.64,0.21,Neutral,Auto Deals
77,"Got sold a limon, even after the fact that i have previously purchased a car with them and had an amazing experience and a great relationship with this dealer. My second purchase with them My transmission went out on a 2010 Chevy equinox a month after I bought it. It was a hassle to have them help me fix it so I ended up just letting it go. After putting $2500 down to purchase the truck and multiple transmission shops saying the repair would cost me $5000 or more. I should of just bought a used car in cash instead of getting a repo on my credit and a loss of $2500 out of my pocket.",0.8979,0.02,0.863,0.116,Positive,Auto Deals
78,Hey ma experience was gud with them .they did well  that's helpful .i would like to say that's excellent with everything go get ur dream car with trusted dealerships like them .,0.9493,0,0.562,0.438,Positive,Auto Deals
79,"Had a great and painless experience purchasing a car with the help of Hares and the GM Joe! I needed a truck for work and had an upcoming deadline, and they definitely worked with me to get me set up in plenty of time. The quickest and most painless vehicle buying experience ever! I'll definitely recommend anyone looking for a quality used car from an honest dealership with plenty of inventory to go to Autoland.",0.9682,0,0.73,0.27,Positive,Auto Deals
